3.95956 -72.595 | 2.37118 -0.45837 | -4994.33 -1954.69
4.45982 -72.575 | 3.35645 0.507961 | 4378.57 5246.04
4.96097 -72.5239 | 2.25426 -1.71888 | 4441.98 -5938.47
5.46396 -72.4651 | 0.364228 -1.19421 | -3556.31 -2842.5
5.9642 -72.3974 | 1.03622 1.91475 | 3225.06 5096.72
6.46405 -72.3095 | 0.97283 2.8738 | 3576.88 -2275.7
6.96323 -72.2081 | 1.26985 0.50742 | -4652.18 -2484.81
7.45452 -72.0897 | 2.21271 1.3635 | -6881.24 -1006.15
7.93257 -71.9444 | 1.27808 3.46696 | -5035.35 3835.49
8.39642 -71.7645 | 0.774892 1.59319 | 10978.8 881.085
8.8578 -71.5605 | 0.478503 -0.864945 | 2454.49 -1470.4
9.31127 -71.3354 | 0.692395 -0.623702 | -6553.05 5402.96
9.74783 -71.0833 | 1.55698 -1.34671 | 2535.15 -6297.65
10.1773 -70.8231 | 0.787605 -1.34792 | -5815.69 -5933.12
10.5931 -70.5518 | 2.71987 -0.942774 | -2702.62 9142.96
10.9928 -70.2553 | 1.95631 -0.501443 | 6293.41 -4326.67
11.3896 -69.9534 | -0.640945 -0.0492282 | -6782.45 -3677.27
11.7749 -69.6458 | 0.981009 -1.26507 | -4979.6 382.632
12.15 -69.3316 | 0.136165 -0.790526 | 283.567 -4539.02
12.5252 -69.021 | -1.96053 -1.6743 | -564.992 1993.3
12.9022 -68.7118 | -2.74981 -1.35982 | 4314.26 220.33
13.2869 -68.4076 | -1.28157 0.823427 | -2955.79 5091.2
13.6758 -68.1054 | 1.20219 0.485574 | 9112.25 1236.34
14.0828 -67.8175 | 0.117243 -1.72632 | 2173.58 903.926
14.5038 -67.5462 | -0.903474 -0.389519 | -2805.72 803.543
14.9332 -67.291 | -0.811572 1.65045 | -3478.19 753.201
15.3713 -67.0572 | -1.15214 1.26709 | -5821.94 -3972.67
15.8204 -66.8582 | -0.786518 3.32987 | 1346.35 -4021.5
16.2846 -66.6992 | 0.448078 3.08423 | 1717.28 3330.59
16.7596 -66.5671 | 1.16729 1.55918 | 2556.48 3108.04
17.244 -66.4566 | -0.501874 0.380293 | 10552.1 3523.14
17.7412 -66.3698 | -2.00695 -2.68096 | -2344.67 -3130.65
18.2419 -66.3159 | -2.26364 -1.80822 | -2849.59 -4876.19
18.7419 -66.2923 | -0.152463 -3.34695 | -5465.15 6411.37
19.2374 -66.277 | 2.2808 -2.8658 | -7190.04 -1139.7
19.7289 -66.274 | 2.96207 -0.832567 | 11006.2 -1860.11
20.2279 -66.2828 | 2.71141 -1.16599 | 6747.92 5621.22
20.7326 -66.2949 | 3.36121 -2.0399 | -1762.99 -5015.69
