-4.16623 87.2198 | -1.90742 -0.26072 | 544.493 5.36379
-3.90362 87.6478 | -6.7669 1.94671 | -13365.6 -16751
-3.66419 88.0755 | 3.09277 -0.801084 | 3858.51 21976.7
-3.42315 88.5166 | -2.66297 -1.17079 | 23754.8 -7307.56
-3.14686 88.9403 | -5.91583 -0.14988 | -25667.7 -20428.7
-2.88917 89.3556 | 2.9423 2.31842 | 8704.58 32835.6
-2.63729 89.7956 | -4.60943 -3.4039 | -2418.78 -9942.1
-2.37559 90.2248 | -4.90576 -5.91065 | 3159.03 -14922.5
-2.08864 90.6314 | -5.33878 -0.2086 | 4860.53 32777.2
-1.78432 91.0459 | -1.06989 1.26802 | 1202.04 -31281.7
-1.45211 91.4209 | 5.11954 0.495422 | -15329.2 19380.9
-1.11767 91.7923 | -0.412626 -1.00042 | -278.857 -17865.4
-0.748641 92.1132 | -0.0774853 -0.0481336 | -11082.2 -15445
-0.346037 92.3754 | 0.370391 -1.20232 | 37637.3 27762.8
0.103876 92.6169 | 1.95629 -5.16353 | -7117.94 5556.22
0.569029 92.8287 | -1.12884 2.24914 | -9890.82 -15314.1
1.04574 92.9808 | -1.90982 0.0949563 | -3353.81 -2871.12
1.52966 93.0874 | -1.01661 -7.27305 | -8695.17 11290.6
2.01355 93.1713 | 0.596677 5.33773 | 5383.21 -2323.99
2.50728 93.2077 | -3.17028 0.821302 | 16888.9 -13.5207
3.01223 93.1857 | -4.35311 3.87784 | -14525.8 -9652.27
3.50279 93.0964 | 1.41245 -3.36259 | 651.617 3712.67
3.9863 92.9734 | 4.64089 -0.70403 | 9999.38 3230.5
4.47214 92.8343 | 1.19168 -1.30141 | -84.5319 -9036.94
4.95543 92.6774 | -1.44722 -0.0469699 | 5252.94 17965
5.44317 92.5329 | -3.22165 -1.12565 | -3547.98 -21319
5.92344 92.3601 | -1.08635 -1.15417 | 132.272 18165.5
6.40423 92.1995 | -2.57464 -3.27789 | -2865.69 -16918.4
6.88039 92.0244 | -4.33225 -2.5923 | -5476.87 9888.75
7.35941 91.8744 | -0.167464 4.71201 | 7627.74 1583.16
7.85012 91.7574 | -1.38867 5.59233 | -11881.1 10871
8.33989 91.6731 | -3.2782 0.234529 | 8993.25 -17211.4
8.8347 91.5838 | -0.522 3.12993 | -8055.29 13955.8
9.32766 91.5164 | -3.18332 -2.77873 | 11061.7 -11374.1
9.8235 91.4445 | -1.14067 1.87555 | -40879.1 3326.95
10.297 91.3843 | 1.2826 -2.18332 | 31982.5 2783.31
10.7907 91.351 | 2.25304 -1.93206 | -1618.27 2462.09
11.2879 91.3397 | 1.88841 -2.66667 | 6190.71 -7456.12
11.7901 91.3332 | 1.09875 -2.66801 | 4022.99 -39.392
12.2941 91.3433 | 0.592716 0.835797 | -17152 3887.15
12.7861 91.3807 | -1.27203 9.10792 | 6396.35 -1200.08
13.2784 91.4375 | 1.52312 0.145936 | -2165.42 -6939.23
13.7673 91.5108 | -1.9695 0.648353 | -247.955 10531.2
14.2514 91.6234 | 0.889007 0.208284 | 17718.5 1122.69
14.741 91.7568 | 1.14132 1.27365 | -14279.4 -6034.09
15.2179 91.8974 | 0.0164533 4.95288 | -13441.8 -8222.23
