1.07729 80.5605 | -2.55776 0.605933 | 4193.82 6022.76
1.51218 80.8115 | 2.76909 -1.17352 | 527.467 3031.42
1.9291 81.0931 | -3.33699 -1.28371 | -5182.94 -8703.98
2.3237 81.3954 | -5.25049 -1.46331 | 1707.2 628.179
2.69306 81.7281 | -0.740685 -2.86682 | -2523.88 3948.69
3.02769 82.0976 | -3.646 -4.31485 | -1428.71 10433.6
3.33321 82.497 | 1.7226 -4.54625 | 4073.36 -18885.3
3.63441 82.893 | 0.226717 -3.51495 | 12019.9 19700.6
3.92776 83.3121 | 1.29823 -5.16648 | -14093.9 4344.94
4.19354 83.7461 | 3.52355 -2.55373 | -1671.28 -24565.5
4.46194 84.1627 | -1.76733 0.980824 | 6601.24 17793.3
4.74185 84.5832 | 1.04467 -0.304789 | 1450.36 -9742.83
5.03647 84.9894 | 1.94959 0.36451 | -5908.41 553.989
5.33576 85.3903 | 0.551816 4.22931 | 8593.44 7259.07
5.64972 85.7877 | 2.90066 5.51472 | -3413.66 -11524.4
5.96906 86.174 | 3.88368 4.54517 | 855.597 12836.2
6.28536 86.5713 | -0.371635 2.23649 | 5350.87 3411.13
6.60394 86.972 | 0.78519 4.08199 | -8172.39 -2821.97
6.91825 87.3686 | 1.70692 2.92682 | -7980.81 -13620.6
7.23819 87.7462 | -0.793622 -3.82074 | 4779.22 3784.55
7.5766 88.1094 | -3.47569 -0.993131 | -6332.06 -4873.16
7.93012 88.4523 | 1.59026 2.80603 | 5457.69 9312.38
8.30843 88.778 | 2.07292 3.9214 | 4902.36 2939.35
8.71706 89.0698 | 0.361988 -1.69211 | -6549.08 -16187.9
9.14848 89.3073 | 1.09702 -6.03991 | -8312.07 -814.969
9.58824 89.517 | 6.25416 -3.50064 | 3084.22 27396.5
10.0388 89.7224 | 4.42172 2.21558 | 2772.1 -25069
10.5149 89.8504 | 2.0485 -5.42237 | 9629.23 3642.28
11.0086 89.9291 | -3.26848 -1.51077 | -6335.27 4206.63
11.503 89.9812 | 1.51084 -5.9307 | -5042.06 6103.05
11.9977 90.0129 | -2.37033 -1.03041 | 20668 -5158.6
12.5063 90.0058 | -2.30537 1.21151 | -5040.41 4421.64
13.0111 89.9633 | -0.929056 -4.95883 | -6763.45 -15534.7
13.5061 89.8707 | -1.81226 -3.4496 | 8207.89 16471.9
14.0021 89.7748 | 3.20895 3.20271 | -13078.8 -3544.68
14.4842 89.6558 | -3.32985 2.18577 | -7912.27 -7349.51
14.9565 89.5148 | -1.17086 2.25538 | 16183.3 8497.98
15.4408 89.3876 | 2.01414 3.11456 | -4356.03 -8427.42
15.9247 89.2666 | -1.14487 5.31022 | -14592.8 17823.7
16.4046 89.1799 | -3.1063 4.69348 | 11752.3 -14597.4
16.8923 89.0917 | 1.10115 -2.14279 | -743.721 5520.74
17.3832 89.0191 | 3.58747 1.39984 | 1042.3 -1722.7
17.878 88.9559 | 3.13126 -2.41446 | 14418.6 -2069.35
18.3841 88.9011 | 5.40421 -2.23228 | 1240.37 -1715.53
18.8917 88.8572 | 2.10359 -3.50486 | -22027.9 1429.23
19.3873 88.8323 | 4.73357 -3.48178 | 15932.2 -4535.84
19.8915 88.8328 | 4.77603 -4.07645 | -7050.1 16886.2
20.3913 88.8827 | 2.76003 2.98568 | 10304.3 -16323
20.8955 88.9385 | 2.48803 -0.924586 | -3845.9 3594.88
21.3929 89.0238 | 4.17243 -4.98065 | -9440.88 5766.43
21.875 89.1458 | 2.90264 -3.97529 | -10835.7 -11599.1
22.3429 89.2816 | 1.32533 -5.97696 | 293.251 270.553
22.804 89.4439 | 0.87987 -4.24277 | 21587 19285.3
23.2694 89.644 | -2.19486 -1.6082 | -4069.93 -9950.97
23.7329 89.8418 | 2.15022 0.309696 | 5090.68 -13166.2
24.1976 90.0316 | -0.522138 3.79569 | -23492.7 18113.1
24.6362 90.2554 | -0.155272 2.69916 | 7218.94 -14722.7
25.0822 90.4662 | -0.614621 5.44645 | 16692.6 19892.6
25.5438 90.6794 | -1.25466 1.08043 | -471.248 -13549.8
26.018 90.856 | 2.91738 -0.36049 | -8778.48 -2172.53
26.4953 91.0046 | 3.05752 -3.24304 | -1696.13 268.89
26.9774 91.1334 | -0.332542 4.87361 | 4445.8 3502.95
27.4685 91.2483 | 1.25721 0.0926969 | 23187.4 -3268.69
27.9757 91.3463 | 0.753012 3.42859 | -37880.7 5221.39
28.4609 91.4461 | 2.24419 -1.83497 | 16172.9 -4777.49
28.9546 91.5298 | 3.07042 1.01621 | -13463.3 3591.27
29.4431 91.6025 | -0.965712 -0.14565 | 8597.51 -3523.33
29.9393 91.6514 | 2.99931 5.04137 | 2113.4 3870.11
30.4394 91.6806 | -0.594865 8.8421 | -1474.8 -1718.03


37.8619 -16.4228 | 3.78729 1.69251 | 742.36 -1545.43
38.2947 -16.6764 | 2.10071 -2.57796 | 1153.84 -951.759
38.7475 -16.8943 | 1.62627 -1.19161 | 563.009 2162.73
39.2186 -17.0687 | 1.36511 0.957783 | -174.806 -1636.63
39.7033 -17.2003 | -0.125699 0.921421 | -1669.22 1776.17
40.197 -17.2834 | -1.40518 0.107395 | -1780.55 1905.46
40.695 -17.3181 | -2.24096 -0.930589 | 791.899 -1338.07
41.1948 -17.3127 | -3.0321 -0.517373 | 1460.73 299.792
41.6943 -17.271 | -1.70109 0.644994 | 2239.9 176.042
42.1924 -17.198 | -0.286191 -0.0901821 | 2621.67 148.703
42.6879 -17.0983 | 0.402245 -1.33107 | -870.655 -488.911
43.1775 -16.9756 | 1.54692 -0.930794 | -2500.7 212.57
43.6598 -16.8315 | 2.136 -0.161136 | 1730.92 -1141.54
44.1374 -16.6695 | 3.34737 -0.971533 | 3158.81 2443.82
44.6104 -16.4867 | 4.06223 -1.85555 | 64.3642 1929.98
45.077 -16.2855 | 3.79674 -1.27732 | -1528.36 897.052
45.5385 -16.0731 | 3.11752 -0.0747866 | 3076.14 1009.54
46.0023 -15.86 | 0.115721 1.10146 | 2364.32 -493.133
46.4716 -15.6565 | -1.08885 -0.36296 | -3799.34 -711.74
46.9447 -15.4699 | -0.162253 -1.96375 | -5227.74 682.954
47.4233 -15.3104 | 0.112533 -1.62356 | 353.737 -4404.77
47.9137 -15.1981 | -0.0170124 -1.1558 | 1914 -3319.65
48.414 -15.1381 | -1.00347 -0.228409 | -953.139 846.87
48.9175 -15.1228 | -0.887994 0.684517 | 643.014 -150.303
49.4207 -15.1483 | -0.286739 -1.44343 | -2551.11 -2885.58
49.9187 -15.2107 | -0.754004 -2.99755 | -4544.51 5011.1
50.4097 -15.2936 | -0.823476 -3.76105 | 106.655 2375.74
50.896 -15.398 | -1.43008 -4.56095 | 1441.19 -1514.76
51.3763 -15.5334 | -0.883582 -2.63576 | 3402.75 -2798.35
51.8494 -15.7034 | 1.01649 0.12275 | 5420.82 -855.301
52.3146 -15.9051 | 1.03351 0.799939 | 990.338 236.37
52.7658 -16.1386 | 0.217774 -0.502041 | -4698.98 -3820.18
53.1948 -16.4069 | -0.408366 -0.290921 | -1574.72 5197.08
53.606 -16.6957 | 0.2266 1.69873 | -2711.52 1918.45
53.9988 -17.0042 | 1.23344 2.04328 | -2142.86 -902.858
54.3737 -17.332 | -0.0354035 0.99224 | 2703.87 4943.21
54.7363 -17.6713 | -0.225912 0.750309 | -3277.81 -2658.72
55.0783 -18.0305 | 0.966063 1.31692 | -3754.07 -2164.28
55.4031 -18.4042 | 1.44952 1.95941 | 3134.51 5047.23
55.7281 -18.7759 | 2.15023 2.91182 | 313.734 101.367
56.0555 -19.1458 | 1.03888 3.60002 | -1340.81 -2701.63
56.3858 -19.5146 | 0.417096 3.41 | 1131.59 -3685.13
56.7283 -19.876 | 1.05559 2.30275 | 5256.02 1003.51
57.0947 -20.2169 | -0.47574 -0.483662 | 1298.1 1213.27
57.4818 -20.5352 | -0.974097 -2.2262 | -370.265 50.8573
57.8831 -20.8352 | 0.832508 -1.48262 | -883.085 1554.1
58.293 -21.1215 | 1.99836 -1.61154 | -2171.66 -3982.47
58.7067 -21.4029 | 0.58151 -3.89767 | -498.466 -5221.59
59.1296 -21.6741 | -1.26278 -4.24804 | 3400.67 2435.45
59.5738 -21.9118 | -1.04752 -2.94331 | 2026.4 145.323
60.0406 -22.1043 | -0.451374 -1.27591 | 856.34 3268.63
60.526 -22.241 | -0.280249 0.647174 | -3692.75 4381.81
61.0202 -22.3227 | -0.546507 0.192758 | -5005.08 -4574.36
61.5157 -22.3651 | -1.81841 -0.250348 | -1022.2 -2030.59
62.0119 -22.3654 | -2.66552 0.0306607 | 1845.05 5707.6
62.5068 -22.3136 | -2.57752 -1.65373 | 1433.06 -2052.37
62.9976 -22.2247 | -1.58933 -2.32069 | 238.913 -6119.17
63.4816 -22.1058 | -0.320634 -3.47546 | 1099.24 4846.49
63.954 -21.9411 | -1.39634 -3.19723 | 1600.6 6307.96
64.4122 -21.7331 | -2.93387 -1.54415 | 485.237 -3575.58
64.8599 -21.5043 | -1.04258 -2.33121 | -1893.99 -2828.27
65.2987 -21.2637 | 0.610513 -2.68105 | -1115.01 -946.81
65.7303 -21.0129 | 1.32085 -2.67198 | 808.852 274.879
66.1565 -20.7522 | 0.892878 -2.02856 | -2828.3 5661.18
66.5774 -20.4828 | -0.538962 -0.261639 | -724.509 -3307.84
67.0053 -20.2279 | -1.19795 0.528658 | 5661.55 -5787.29
67.4504 -20.0004 | -2.20716 1.98326 | 2401.8 1102.76
67.9051 -19.7875 | -2.76637 3.55488 | -3772.31 4351.18
68.3599 -19.5766 | -2.33069 2.00373 | -559.747 3373.95
68.8185 -19.3736 | -1.88494 1.14006 | -1306.79 -1818.06
69.2862 -19.1976 | -0.473631 0.516098 | -1959.3 -4393.83
69.7653 -19.0638 | 1.59391 -1.09011 | 2364.44 -1274.49
70.2555 -18.9719 | 2.30973 -0.873511 | 468.792 2234.86
70.7522 -18.9144 | 1.46861 0.162007 | 2643.67 1738.59
71.2544 -18.8909 | 1.12818 1.39889 | 4049.28 -3889.68
71.7601 -18.9073 | 2.06316 1.97234 | 752.631 2736.19
72.2643 -18.9542 | 2.11114 -0.914208 | -2758.66 2371.89
72.7612 -19.0336 | 1.0991 -2.866 | -9208.25 -3576.04
73.2426 -19.1554 | 0.282291 -3.1128 | -4907.96 1629.86
73.7106 -19.3087 | -0.580509 -3.84116 | 3883.25 151.977
74.1738 -19.4835 | -1.16408 -2.99631 | 5632.07 -2232.08
74.6371 -19.6737 | -1.38505 -1.37087 | 9766.21 899.457
75.1047 -19.8724 | -1.17542 -1.2474 | 2816.83 -1500.91
75.5687 -20.0867 | 0.00614342 -0.4049 | -5347.26 -3478.2
76.0198 -20.3225 | 0.926179 -0.349297 | -1172.27 2023.46
76.4627 -20.569 | -0.0876741 -3.09536 | -3603.26 2087.98
76.899 -20.8202 | -0.779332 -3.39575 | -1673.72 -1085.8
77.3338 -21.0722 | -0.785258 -1.48995 | 4103.38 3128.43
77.7756 -21.3147 | -1.09682 -0.160566 | 2064.75 710.707
78.2216 -21.5524 | -1.19236 0.265855 | -201.544 -2924.85
78.6658 -21.7949 | 0.424773 -0.221214 | -2149.86 3185.73
79.1048 -22.0415 | 1.94701 0.124819 | -2292.88 -555.451
79.5353 -22.2996 | 1.28194 0.35478 | 669.515 -2621.77
79.9575 -22.5718 | 0.734181 0.536302 | -3808.86 1205.56
80.3711 -22.8518 | 1.30802 0.88313 | -4460.69 -653.766
80.7811 -23.1326 | 2.03364 0.810323 | 2974.56 4961.12
81.2005 -23.3979 | 2.36881 2.33963 | 120.519 -779.501
81.6281 -23.6505 | 0.69448 2.43568 | -2717.05 -5444.16
