6.33363 -71.6976 | -0.266345 0.924771 | -1319.91 -2936.82
6.82463 -71.5831 | 1.38354 -0.535949 | 5944.25 -72.5134
7.31467 -71.45 | 2.43557 1.09242 | 87.9315 -1632.34
7.79808 -71.2949 | 1.83681 -1.71819 | -5221.92 7748.12
8.26756 -71.1075 | 2.13025 -4.49919 | -4685.23 -2341.16
8.72875 -70.9101 | 2.23686 -2.51892 | 4101.72 -9275.78
9.19331 -70.7206 | 0.374027 -0.328895 | 1535.46 8914.95
9.65659 -70.5202 | -0.37848 -1.99745 | -3536.81 3694.66
10.1188 -70.3207 | -1.23578 -3.08638 | 874.086 -11561.7
10.5896 -70.1512 | -1.69526 -2.41788 | -2819.54 -4161.15
11.0636 -69.9996 | -1.23795 -0.580552 | -531.516 4606.82
11.5361 -69.8402 | -2.62967 0.539339 | 5823.99 8640.54
12.0091 -69.6647 | -1.68014 -0.639549 | -1599.38 2791.9
12.4833 -69.4912 | 0.348706 -0.131228 | 961.41 -5895.62
12.9663 -69.3482 | -0.812225 1.18724 | -1556.27 -7768
13.4556 -69.2434 | -0.975704 0.455733 | -9069.44 4939.67
13.9424 -69.1563 | -0.725273 0.473692 | -1320.9 5936.62
14.4319 -69.0898 | -0.923387 1.21502 | 6706.9 -4449.51
14.9301 -69.0704 | -1.17353 -0.495826 | 5365.01 -199.364
15.4321 -69.1035 | -2.22078 -1.77833 | 408.102 -5109.35
15.9288 -69.1929 | -0.756401 -0.985364 | -973.646 2377.1
16.4155 -69.3233 | 0.500247 0.855425 | 889.24 6257.26
16.8907 -69.4887 | -0.881366 0.280182 | -1832.88 -6306.9
17.3445 -69.7073 | -0.0613272 0.488602 | 1550.48 -4563.45
17.7756 -69.9729 | 0.296826 0.872919 | 2958.93 4765.95
18.1868 -70.2682 | -1.32555 0.423633 | -6685.2 1.68055
18.5692 -70.5956 | -2.94977 -0.101758 | 2863.14 -4363.32
18.9308 -70.9512 | -3.80473 1.03058 | 4497.62 -5204.14
19.2798 -71.3263 | -3.09321 1.0554 | 2393.84 2111.09
19.6212 -71.7075 | -2.86074 -0.928165 | -8829.92 9506.86
19.9486 -72.0882 | 1.23452 -0.355258 | -5845.71 2035.68
20.2662 -72.4715 | 2.35683 0.387598 | 8718.98 -2758.04
20.59 -72.8557 | -0.963354 -0.545893 | -978.089 -1302.54
20.9128 -73.242 | 5.01901 3.42389 | -3206.79 2137


-21.9989 83.605 | 1.63793 3.84086 | 4907.16 -2348.34
-21.5192 83.7575 | 1.60019 1.61293 | -5163.83 4752.22
-21.0588 83.9557 | 0.768432 -0.289691 | 2564.33 -1907.31
-20.6148 84.1882 | 0.115861 -2.18707 | -4933.84 -1638.8
-20.1929 84.4517 | 0.236129 -3.58306 | -5320.28 434.109
-19.792 84.7409 | 1.89861 -2.69895 | 3239.21 551.425
-19.3973 85.0417 | 4.62491 -3.0591 | 3155.88 628.88
-18.9994 85.3433 | 2.71978 -2.13707 | 5404.89 3353.45
