-68.7001 -27.483 | 0.532817 -2.82207 | -1354.2 2223.38
-68.2656 -27.2393 | -1.75631 -0.255284 | -2.2094 1873.28
-67.8181 -27.0191 | 0.841729 -1.24948 | 5624.32 -7814.3
-67.3503 -26.8419 | 2.6405 -0.428442 | -2960.47 5630.34
-66.873 -26.6928 | 1.37079 2.48735 | -234.5 -192.489
-66.386 -26.5791 | 0.683742 2.733 | 3929.48 -3379.47
-65.8888 -26.5071 | -0.729342 3.467 | 193.931 7351.46
-65.3874 -26.4673 | -0.761216 2.09994 | -3725.74 -5181.08
-64.8873 -26.4789 | 0.44643 -0.607009 | -2166.13 -2181.42
-64.3917 -26.5404 | 0.323009 -1.33016 | 7484.84 -164.915
-63.8964 -26.6412 | 0.0972325 -3.27676 | 8107.63 182.6
-63.4027 -26.7741 | 0.590236 -4.4715 | -4604.5 -1171.99
-62.9215 -26.9391 | 1.65574 -1.58599 | -6066.39 2193.08
-62.4552 -27.1297 | 2.03362 0.310393 | 343.662 2668.33
-61.9998 -27.3424 | 2.07738 1.46632 | 149.746 -4125.74
-61.557 -27.5831 | 1.99901 2.1771 | 3142.03 1542.48
-61.1243 -27.8441 | 1.19401 1.54697 | -1372.67 1134.01
-60.7072 -28.1269 | 1.03618 2.49598 | -4494.88 -1905.64
-60.3102 -28.4351 | 0.840576 1.22052 | 6305.17 443.667
-59.9242 -28.7625 | 0.938372 -0.568094 | 902.986 -8908.82
-59.5543 -29.1144 | 0.0110884 -2.43988 | 201.515 7116.48
-59.1965 -29.4742 | -1.09905 -2.07683 | -5644.52 1764.43
-58.8569 -29.8462 | -0.316494 -1.19248 | 465.584 -3821.5
-58.5298 -30.2316 | -0.347936 -1.43111 | 2732.87 -1281.54
