56.2766 -51.7715 | 1.03395 4.15807 | -429.154 -3094.66
56.7208 -52.0174 | 0.878136 1.49628 | -4775.19 1139.6
57.1538 -52.2748 | 0.758564 -1.66334 | -5997.48 8631.94
57.5831 -52.5272 | 2.37481 1.82363 | 10637.1 -6135.4
58.0204 -52.7811 | 2.5314 3.55674 | -108.395 -9299.81
58.4617 -53.0338 | -0.323656 0.702018 | -7973.86 11890.5
58.9125 -53.2511 | 0.397379 1.28417 | 4901.4 7866.29
59.3806 -53.4295 | 1.41168 1.33751 | 3095.13 -9021.42
59.8569 -53.5979 | -0.0316599 -0.308716 | -1847.76 -6066.15
60.336 -53.7551 | 0.0151081 1.27466 | -11085.5 12263.1
60.8156 -53.8751 | 0.440376 1.95211 | -3896.7 -4635.12
61.2986 -53.9702 | 0.155238 -1.71411 | 13122.2 2737.95
61.7953 -54.0335 | 1.08697 -1.81693 | 504.024 -2496.71
62.2963 -54.0753 | 0.850701 -4.76999 | 559.677 -7406.78
62.799 -54.098 | 1.37219 -4.88147 | -2164 7219.81
63.2994 -54.0748 | 1.21388 -1.12812 | -8234.72 1063.8
63.7906 -54.0081 | 0.169293 -3.94011 | 4861.04 -6441.22
64.2786 -53.9078 | -0.784051 -3.08082 | 7314.02 7830.33
64.76 -53.7571 | -1.3164 -2.75924 | -1653.32 -1692.3
65.2258 -53.5649 | -2.31188 -1.077 | 196.993 -1391.67
65.6722 -53.3338 | -2.8417 3.89619 | -8417.49 -44.859
66.0902 -53.0633 | -2.82141 1.51115 | 4617.64 -6.56211
66.4886 -52.7617 | -0.804969 -0.592113 | -2686.89 944.795
66.8652 -52.4337 | 1.27553 1.86141 | 362.096 3426.02
67.2288 -52.088 | 2.84749 2.15244 | 9278.91 -2998.64
67.5949 -51.7398 | 1.8713 1.0359 | -7285.07 -1271.61


-36.8637 -29.5961 | -0.506751 4.99076 | -8475.34 -325.898
-36.3775 -29.5167 | 2.47185 2.06637 | 6222.22 -229.318
-35.8832 -29.4667 | 1.13918 0.0522802 | 401.084 1654.87
-35.386 -29.4487 | -0.393072 -2.38364 | -2403.53 96.2723
-34.8909 -29.4699 | -1.41975 -2.31117 | -3806.64 -3478.15
-34.4022 -29.5363 | 0.352084 -0.290497 | 4230.8 551.19
-33.9176 -29.6362 | 1.67625 1.33823 | -9623.36 1935.78
-33.4442 -29.7588 | -1.38557 0.891683 | 6860.92 6716.92
-32.9708 -29.8942 | -0.220781 0.697793 | 6470.76 -6566.6
-32.5007 -30.0623 | -2.0588 0.578373 | 5952.05 -653.126
-32.0385 -30.263 | -1.80602 -0.274104 | -4830.18 -1557.69
-31.5952 -30.499 | -0.458543 1.21557 | 1574.41 -1572.17
-31.1685 -30.7644 | -0.703004 -1.73036 | -1713.87 11367.6
-30.7605 -31.0471 | 0.286527 -3.18231 | -6079.87 -433.819
-30.3863 -31.3666 | -0.0574445 -2.55942 | -1359.42 -2489.99
-30.0503 -31.7268 | 1.17946 0.509135 | 3342.79 -5272.26
-29.7466 -32.1209 | 2.55027 -0.30831 | -3285.22 -6317.7
-29.4668 -32.536 | 0.193811 -2.97578 | 13552.5 13056.2
-29.1802 -32.9451 | 3.2443 0.0406296 | -5725.25 -10202.4
-28.9121 -33.3703 | 1.87692 1.17393 | -5688.71 1115.14
-28.6586 -33.8027 | 1.94338 -0.423833 | 8451.52 -527.233
-28.3955 -34.2336 | 4.39305 -3.38755 | 697.503 -7291.71
-28.125 -34.6645 | 0.187211 -2.8474 | -31.3439 10350.2
-27.8437 -35.0808 | 0.197427 -1.19755 | -14187.9 3002.23
-27.5618 -35.4879 | 2.56024 -0.560217 | 11149.3 -1911.82
-27.2495 -35.8784 | -2.44618 -3.64747 | 4208.19 -4943.35
-26.9113 -36.2525 | -2.28143 -4.28391 | -9055.68 5593.49
-26.5578 -36.6037 | -3.76623 -2.62403 | 3773.99 222.312
-26.1804 -36.9306 | -3.81574 -2.31861 | 407.939 -4002.24
-25.7838 -37.2352 | -1.78076 -5.1954 | -9713.45 3837.91
-25.372 -37.5068 | 1.10056 -3.35125 | 3395.55 8998.52
-24.9354 -37.7347 | 3.73112 2.38771 | 5173.02 -15360.6
-24.481 -37.9449 | 0.300058 1.45531 | 5058.07 3185.8
-24.0075 -38.1181 | -2.61092 -0.193954 | 914.243 5892.1
-23.5215 -38.2529 | -3.24079 -1.47696 | -613.361 -3841.45
-23.0317 -38.3719 | -1.71993 -1.12763 | -4986.03 -8100.87
-22.5425 -38.4831 | -0.608053 -0.269765 | -1026.95 10865.5
-22.0493 -38.5599 | -0.808221 -2.16333 | -1728.69 -4676.7
-21.5545 -38.6176 | -1.75249 0.865695 | 1520.63 -5059.48
-21.0565 -38.6529 | -2.97027 -1.06728 | 1359.72 9431.39
-20.5567 -38.6429 | -4.92744 -1.31043 | -2629.56 -1234.36
-20.0591 -38.6038 | -3.34131 1.53903 | 5669.13 1215.46
-19.5591 -38.5471 | 1.26092 4.52361 | 3390.21 -6365.11
-19.0572 -38.4876 | -0.189936 0.985877 | -1719.38 4910.21
-18.5589 -38.4139 | -3.32544 1.43864 | -11019.3 -2866.22
-18.0693 -38.3351 | -4.45613 0.154063 | 1964.51 -5476.48
-17.5798 -38.2531 | -5.93704 -0.492557 | 6441.04 10071.3
-17.0886 -38.148 | -7.34343 0.268514 | 3788.24 668.618
-16.5949 -38.0359 | -6.28069 -0.631921 | 4138.48 -10095.6
