-12.2356 12.4965 | -2.98181 3.03887 | 4000.18 2205.79
-20.9239 21.2518 | -1.89041 0.692955 | -204.38 -1686.99
-20.4972 20.9951 | -3.832 -4.10715 | 4421.68 1541.56
-20.0375 20.7989 | -1.85956 -3.19661 | -2358.12 4569.24
-19.5583 20.6639 | -0.483504 -2.03357 | -2022.18 -2377.65
-19.0698 20.5727 | 0.0497275 -0.770439 | -1105.4 -4293.08
-18.5762 20.5159 | 0.973787 1.90871 | 3271.14 2712.35
-18.0772 20.5 | 0.528391 2.99343 | 3642.02 5116.98
-17.5761 20.5184 | -0.932255 3.30035 | -4837.73 -4318.08
-17.0797 20.5433 | -0.873929 2.66623 | -9865.58 -7117.89
-16.591 20.5623 | 0.573991 -2.25633 | -3459.86 2167.22
-16.1054 20.5905 | 1.75338 0.145175 | 6040.26 2539.96
-15.6165 20.6327 | 2.19932 0.36691 | 3427.39 -3294.92
-15.1248 20.6836 | 0.594481 -0.473927 | 5567.74 4858.7
-14.6298 20.7515 | -1.11686 1.6883 | 4759.7 338.409
-14.1318 20.8273 | -0.832389 0.250009 | -4615.93 -1455.44


70.5615 31.9603 | 0.295714 1.38538 | -3590.31 7078.29
70.5981 31.4671 | -0.284989 -1.69669 | 9410.5 -11053.8
70.6383 30.9658 | 0.740245 -3.86921 | -7454.37 -4501.48
70.6642 30.4605 | -1.14345 1.32119 | -3147.99 8505.21
70.688 29.9609 | -2.23045 0.479286 | 10985 5745.22
70.7333 29.4665 | -2.3544 0.397108 | -4630.24 -7089.12
70.7786 28.9678 | -1.81728 1.70816 | -2614.94 -4502.59
70.8223 28.4665 | 1.26913 0.579749 | 3982.74 11787.8
70.8735 27.9728 | -0.0104667 -0.787883 | -10835.8 -5390.03
70.9225 27.4768 | 1.2712 0.494335 | 8576.26 -2797.05
71.004 26.9825 | 1.11241 1.45188 | -3257.32 4408.95
71.1186 26.4968 | -1.39458 1.65507 | 3171.42 -6791.54
71.2774 26.018 | 1.74642 -0.31998 | 5940.44 -4468.93
71.4852 25.5518 | -0.216044 -1.72668 | 2456.83 -6360.96
71.7335 25.0999 | -2.38166 0.436538 | 1450.2 7123.32
72.0155 24.6728 | -2.37073 0.411647 | -9563.76 4569.39
72.3141 24.2652 | 0.800387 3.04457 | 3605.34 1033.93
72.6368 23.8752 | 1.56091 -1.06332 | -704.465 -10718.8
72.9804 23.4949 | -0.0818322 1.20665 | 13695.7 -854.788
73.3617 23.1414 | -2.28726 3.16477 | -2004.77 2278.69
73.7658 22.8181 | -4.32398 -1.071 | -13874.3 5121.14
74.1811 22.5279 | -5.50241 -1.56296 | 1635.71 8303.33
74.6185 22.2809 | -3.32952 -0.259328 | -2939.49 -114.838
75.0684 22.0646 | -4.0558 -2.74268 | -7450.79 2192.66
75.5235 21.8716 | -3.59507 -3.38528 | 5896.08 -5717.93
75.989 21.6928 | -1.69121 -3.28064 | 2692.96 2770.37
76.4627 21.5347 | -3.15174 -3.05552 | -7339.82 2618.92
76.9346 21.3912 | -4.12505 -4.32582 | -11133.2 2394.68
77.4008 21.2522 | -5.38961 -5.1971 | 13933.1 -6030.65
77.8758 21.1061 | -3.2178 -4.26579 | 13260.4 -3117.97
78.3587 20.9531 | 0.14768 -1.61431 | -9584.39 8790.13
78.8329 20.7945 | 2.01184 3.96487 | -4369.56 -4126.37
79.2933 20.6051 | 1.90365 0.502438 | 9576.63 -2358.83
79.7439 20.3799 | 2.06086 1.7807 | -3936.92 -1361.73
80.1706 20.1142 | 0.0120584 -0.0204944 | -1405.8 -236.163
80.5705 19.811 | 2.34195 2.38493 | -6021.38 -4149.03
80.9429 19.4763 | 1.54738 3.45753 | 11202.9 8325.85
81.3094 19.1345 | -1.12498 2.33397 | -8503.53 5322.33
81.6493 18.7756 | 1.10823 1.81281 | -9234.3 -1622.13
81.9556 18.3905 | 0.72737 2.1698 | 16573.1 -12559.9
82.254 17.9838 | 1.59824 4.38962 | -3847.95 6497.47
82.5364 17.5699 | 2.30099 0.870187 | 2783.84 6387.23
82.803 17.1491 | -1.12051 -1.05395 | -5424.13 -7986.25
83.0362 16.7074 | -0.434324 2.64517 | 3734.15 12450.6
83.2431 16.2594 | -1.10716 2.29703 | -5036.36 -7182.99
83.4069 15.7923 | -5.47901 4.24311 | -4814.97 7092.06
83.5351 15.3179 | -3.2925 4.28901 | 14892 -8937.76
83.6534 14.8315 | 4.97967 -0.278994 | -5255.07 -14058.6
83.7372 14.329 | 6.29656 -2.08572 | -3314.44 11656.6
83.7898 13.8281 | 4.86433 -2.31903 | -163.117 -7517.28
83.8239 13.3224 | 2.01239 -1.21896 | 7228.1 5846.27
83.8534 12.8207 | -3.06706 0.939363 | -7357.14 11774.1
83.8626 12.3259 | -3.53009 0.313093 | -3477.09 -14057.2
83.8642 11.8245 | -2.11978 1.48564 | 7529.85 15577
83.885 11.3328 | -3.93939 -1.26673 | -5467.65 81.4219
83.9204 10.8423 | -5.19613 -2.94286 | -2240.51 -14796.6
83.9868 10.3454 | -3.40654 -0.576704 | 13506.8 2020.54
84.1122 9.85816 | -1.72986 -2.34343 | -13150.7 -2681.36
84.2721 9.38205 | -3.53375 -3.1516 | 7199.47 6371.28
84.4934 8.93405 | -0.27331 -1.29549 | 5452.92 3438.53
84.769 8.51696 | -1.40038 -1.56176 | -9550.68 -8213.85
85.0707 8.11751 | -3.43145 0.544607 | 1485.37 8191.23
85.409 7.75249 | -4.29462 -2.10262 | 5272.17 -2821.7
85.78 7.41493 | -2.90823 -3.57428 | -514.019 -5854.22
86.1698 7.09696 | 0.653861 1.01605 | -11508.4 8552.32
86.5713 6.80911 | 1.35083 -0.929549 | 7349.07 1801.43
86.9947 6.55023 | -0.0110466 -4.19207 | 158.514 -3984.57
87.4288 6.30635 | -1.16043 -2.47521 | -555.862 3627.79
87.8684 6.07426 | -3.71939 -3.64589 | -1650.96 -13863.5
88.3085 5.83639 | -1.62393 -3.07013 | 936.051 5343.57
88.761 5.62476 | 0.863291 3.80323 | 2308.86 11772.4
89.228 5.45186 | -0.14676 -0.69014 | -3271.95 -16046
89.6977 5.2841 | -0.789694 -0.946459 | -44.0025 15058
90.1751 5.15012 | 2.76319 2.20704 | -2354.96 -2654.63
90.653 5.02087 | 1.81571 0.596128 | 6103.9 -12048.7
91.1332 4.87794 | -1.76278 -2.91845 | -1664.21 1407.35
91.6149 4.74471 | 3.9737 -0.220687 | -5430.74 12200.9
92.0986 4.64003 | 3.08002 -2.17931 | 6190.26 -6037.67
92.5874 4.53797 | 1.6432 -4.30247 | 1015.52 225.899
93.0777 4.43282 | 3.14446 -1.62393 | 5189.69 -673.663
93.5697 4.31616 | 1.85318 0.975798 | 2763.49 -3102.88
94.0587 4.17842 | 2.55326 1.79506 | -6697.99 -416.27
94.5373 4.01937 | 0.166493 -0.0870369 | 2250.34 212.388
95.0107 3.84398 | -2.26769 1.04102 | -1811.52 4892.65
95.4768 3.65539 | 0.0386096 1.95092 | 2386.83 751.731
95.9329 3.44015 | -0.37234 1.02389 | 5379.55 -4062.52
96.3699 3.17969 | 0.568931 3.77049 | -4244.66 -11225.9
96.7699 2.86312 | -2.00994 2.17112 | -6570.88 14234.1
97.1343 2.51893 | -1.2481 1.18347 | -3655.5 -5421.05
97.4642 2.14064 | 0.659248 -0.359577 | 8175.51 -4430.14
97.777 1.74026 | 2.67943 1.22249 | 1333.05 529.519
98.0746 1.32647 | -1.79771 -2.15771 | 4707.52 -924.831
98.3569 0.900164 | -3.277 -4.36191 | -9366.06 3174.53
98.6079 0.461117 | 2.21169 -2.46592 | -1956.64 4740.77
98.8363 0.0149349 | 0.221289 -2.39216 | 5539.37 2161.34
99.0503 -0.437265 | -3.0559 -0.384494 | -3823.59 4290.45
99.2345 -0.898987 | 0.494671 1.45203 | -3527.73 -7535.29
99.3834 -1.37767 | 0.634671 -0.750665 | -3575.7 -9119.01
99.5122 -1.86712 | -1.49009 -0.857626 | 15589.4 15542.2
99.6566 -2.34556 | -3.56181 -1.61304 | -9163.24 -4260.56


-4.57862 48.6857 | -8.32446 -0.0206163 | -338.244 -816.063
-4.14922 48.9399 | -6.72145 -0.597432 | -2709.06 -213.872
-3.74124 49.2254 | -2.97839 0.139999 | 3556.9 2726.22
-3.35041 49.5389 | -1.07079 0.157304 | -410.617 2360.02
-2.97573 49.8737 | 1.56557 -2.35924 | 2504.85 -1599.14
-2.60903 50.2176 | 0.463891 -2.85562 | -1588.82 -2948.33
-2.25022 50.5662 | -2.73249 -0.69386 | -3905.67 -1341.37
-1.89967 50.9198 | -2.95967 1.49085 | 4962.37 2634.74
-1.54876 51.2771 | -2.214 0.8527 | -2221.06 -2032.84
-1.20027 51.6345 | -1.75063 -0.0310029 | 1573.53 -2339.16
-0.852378 51.992 | -1.49359 -0.708244 | -315.585 2573.08
-0.510866 52.3569 | -1.86696 0.0772661 | -908.911 757.256
-0.177318 52.7296 | 0.499312 0.835518 | 6644.57 -1405.69
0.151371 53.1082 | 1.32882 0.404768 | -8926.83 -1161.42
0.455348 53.5011 | -1.33319 1.39714 | -5159.6 3157.58
0.739259 53.9075 | -1.4461 1.94096 | 6662.68 -4945.37
1.02647 54.3108 | 0.366867 1.68452 | -9540.17 -1353.62
1.31126 54.7113 | 0.590858 1.89493 | 4944.3 6047.82
1.61736 55.1029 | -0.773465 1.94167 | 8781.23 2738.24
1.95999 55.4719 | -1.24147 1.90272 | 1440.75 2672.12
2.3346 55.8126 | 0.498154 0.966425 | 685.401 -3311.89
2.73866 56.1156 | -0.317823 0.545966 | -7256.52 238.21
3.1633 56.381 | -0.239381 -0.0261558 | 878.668 -237.133
3.61369 56.5973 | 0.261462 0.323247 | -926.979 -8297.55
4.0858 56.7524 | 0.487157 1.41286 | -1920.33 -549.889
4.56905 56.865 | 0.4475 1.51022 | 4673.99 8174.06
5.0606 56.9581 | 0.272555 3.59982 | -1582.19 -11.0132
5.55604 57.0265 | 2.05062 3.53959 | 1203.62 -368.656
6.05594 57.0655 | 2.96785 1.0546 | 4135.05 530.366
6.56073 57.0727 | 1.85951 -0.725427 | 2822.16 -4141.8
7.06772 57.0441 | 0.564771 0.847221 | 3430.59 -1265.97
7.57539 56.9906 | 1.49142 3.29194 | -2125.79 5646.77
8.08044 56.9265 | 3.62298 3.54826 | -141.43 -8309.93
8.58294 56.8436 | 4.24097 2.24675 | -877.615 1522.48
9.08455 56.7656 | 2.54935 0.368844 | -5267.53 7057.47
9.58494 56.7119 | 1.43636 -0.875803 | 1924.21 -4300.43
10.0873 56.6768 | 2.67924 0.916865 | -3460.12 5953.4
10.5876 56.6726 | 3.44727 1.7017 | -7191.52 17.7774
11.0823 56.6885 | 1.93315 1.88103 | -1359.49 -3805.43
11.5746 56.713 | 1.10837 -0.0644881 | -1674.83 337.132
12.0652 56.7489 | 1.80364 0.563058 | 3675.85 -4082.05
12.5569 56.7963 | 1.24227 4.43673 | 584.954 2785.63
13.046 56.8719 | 0.476772 1.7308 | -746.221 -251.203
13.5287 56.9795 | 0.302551 -0.708492 | 601.672 -165.026
14.003 57.1216 | 1.40488 -1.65545 | -667.734 3753.35
14.4659 57.2999 | 2.8658 -1.70276 | 5774.26 -4519.02
14.9222 57.5008 | 2.01185 -1.29813 | 753.748 -2905.83
15.3638 57.7315 | 1.88013 -3.61465 | -4690.76 4113.34
15.7762 58.0077 | 1.62518 -2.74015 | -3283.04 2240.28
16.1582 58.3228 | -0.463626 1.21218 | 1828.73 -8350.29
16.5207 58.6572 | 1.20481 0.126285 | 6817.4 2684.92
16.8631 59.0189 | 2.40583 0.354376 | 5037.68 5062.41
17.1714 59.4167 | 0.148774 2.86516 | -5070.74 3988.02
17.4241 59.8524 | -1.96937 1.86125 | -4190.29 -2075.64
17.621 60.3132 | -2.17422 1.26467 | -586.864 -4993.89
17.775 60.7872 | -0.0460215 2.39871 | -1158.56 6386.45
17.8987 61.2739 | 0.938623 1.67981 | 4651.82 1225.8
18.0145 61.7636 | -0.0719051 1.08109 | 3531.01 -9351.83
18.1281 62.2474 | -0.600002 1.57475 | -7318.38 -5715.16
18.2256 62.7285 | 0.394664 3.00306 | -166.699 -1154.65
18.3181 63.2095 | 3.56352 3.49591 | 6632.54 4879.92
18.4167 63.6934 | -0.320361 2.90037 | -4326.55 1352.2
18.509 64.1795 | -5.15507 2.96857 | -4496.84 -558.164
18.6007 64.6652 | -5.7538 3.19524 | 3436.2 2340.58
18.7153 65.1476 | -4.74017 3.32274 | 1926.35 -778.444
18.8625 65.6204 | -1.56176 3.43306 | -1666.5 -5553.24
19.0417 66.0771 | 0.3922 1.44467 | -2997.47 -5166.14
19.2501 66.5165 | -1.15244 0.4494 | -2709.94 4702.22
19.4871 66.9437 | 0.402708 0.457021 | 4393.32 5497.08
19.7635 67.3532 | 3.34036 0.611571 | 4585.25 1603.67
20.0804 67.7375 | 2.43315 0.959281 | 537.351 3085.82
20.4282 68.0966 | -0.414666 -1.2344 | -6075.94 -3898.49
20.799 68.4252 | -2.3138 -0.154168 | -881.314 -1063.51
21.1948 68.7223 | -0.260188 1.49029 | 5502.15 8398.76
21.6186 68.9908 | 1.29271 -1.07662 | 3767.6 1073.21
22.0719 69.2156 | 1.18266 -3.06238 | 8968.48 -1827.57
22.5553 69.385 | -1.00157 0.658284 | 3498.96 -2085.21
23.0569 69.5007 | -2.34577 2.18117 | -5243.87 3137.23
23.5634 69.5724 | -2.07643 -0.969459 | -2355.06 -6502.76
24.0716 69.5919 | -1.99475 0.0920271 | -4774.18 -910.877
24.5759 69.5726 | -1.32897 -0.961257 | -927.165 3054.65
25.0773 69.5303 | -1.72781 -3.48927 | -2573.51 -3049.59
25.5747 69.4683 | -1.74469 -2.79943 | -228.708 5650.14
26.0709 69.4028 | -0.0938163 -4.25199 | 2729.92 1316.05
26.567 69.328 | -0.190082 -2.73081 | -4242.53 -6414.73
27.0579 69.2322 | -1.27725 -1.03838 | 2106.26 703.308
27.549 69.1306 | -0.956007 0.956945 | 3463.7 3939.66
28.0431 69.0344 | 0.161705 2.61824 | -1699.01 -3817.78
28.5369 68.9377 | 0.359546 0.816194 | 1914.31 2636.92
29.0329 68.8498 | -1.55255 1.34641 | -3455.85 1800.35
29.5275 68.7695 | -1.69378 1.60316 | -664.681 -3709.62
30.0212 68.6896 | -0.241692 1.36439 | -2602.97 1470.03
30.5131 68.6184 | -0.472743 2.09195 | -8610.46 -19.8563
31.0009 68.559 | -1.28625 0.701149 | 3706.37 -4479.88
31.4928 68.5175 | -3.25576 -0.761853 | 4389.37 7449.23
31.9902 68.5157 | -2.48872 -1.06517 | 4421.57 914.4
32.4908 68.5432 | -1.1414 -1.59879 | 3023.24 -8476.22
32.992 68.5856 | -1.26642 -2.07059 | -7114.18 2955.03
33.4846 68.6618 | 0.155016 -0.159949 | 80.9344 1159.47
33.9694 68.7759 | 2.36823 -1.05631 | 2169.05 128.384


52.691 -14.3571 | 5.27711 -1.95962 | 1518.7 4678.77
53.0794 -14.0395 | -4.25779 -0.711969 | -8039.46 -9679.79
53.4725 -13.7433 | -1.14694 -4.39838 | -6914.56 -9225.75
53.8734 -13.4706 | -4.10574 0.3246 | 9534.14 10285.8
54.2875 -13.2028 | -0.395265 2.01761 | 1508.95 1566.15
54.7099 -12.9424 | 0.778527 0.0642892 | 3817.5 -2634.9
55.1391 -12.6914 | 1.06215 -0.867762 | -13722.8 11648.5
55.5622 -12.4373 | 4.63265 -2.58018 | 8183.41 -11949.5
56.0074 -12.2224 | 3.37202 -0.427272 | 3526.31 45.7585
56.4687 -12.039 | 2.28268 -2.2384 | -7455.02 11018.5
56.9349 -11.8736 | 0.941959 -3.14465 | 2638.42 -10455.6
57.416 -11.7579 | 0.941034 -0.728675 | 6942.38 -2772.75
57.9097 -11.68 | 3.15541 2.03438 | 750.951 13827.2
58.4084 -11.611 | 3.59504 -0.23884 | 8533.96 -1683.31
58.916 -11.5746 | 3.87214 -0.594574 | -4976.98 -9621.03
59.4213 -11.5862 | 3.60971 0.185452 | -6641.41 9191.02
59.9203 -11.6241 | 3.69349 -0.454582 | 3562.3 -723.259
60.4159 -11.7028 | 3.39649 3.43277 | 788.862 -4098.91
60.9009 -11.8343 | 1.49922 -1.79415 | -6573.79 -1299.37
61.3671 -12.0144 | 3.74524 -0.977005 | 8347.67 -6100.43
61.8243 -12.2311 | 1.88075 -1.41661 | -3065.62 8334.5
62.273 -12.4585 | -1.74096 6.92762 | 1684.89 -4025.76
62.7165 -12.6996 | 0.661908 1.43473 | 902.172 -325.303
63.1578 -12.9448 | 3.67733 -6.31207 | -4353.59 6236.25
63.5969 -13.1833 | 0.748537 -1.42943 | -2584.06 3962.24
64.0329 -13.4196 | -1.55499 1.21853 | 3439.36 -257.252
64.4624 -13.6665 | 4.34214 -0.284017 | -18398.4 886.673
64.8667 -13.9352 | 6.42352 3.85016 | 7047.96 -5126.2
65.269 -14.2179 | 0.490003 1.69203 | 14544.9 -4911.23
65.6853 -14.4987 | -0.410822 -0.057458 | -8860.83 6113.04
66.1068 -14.7659 | -0.48967 1.81391 | 17811.3 -14106.4
66.5493 -15.0253 | -1.8487 2.12539 | 611.334 12077.6
67.0042 -15.2542 | -2.40476 -3.05937 | -26020.2 -175.799
67.4486 -15.4711 | -4.78526 -6.48032 | 16934.4 526.237
67.9116 -15.6676 | -2.04647 -0.800832 | 1517.77 -8525.37
68.3841 -15.8503 | -0.747722 -1.44523 | -6170.35 1482.55
68.8641 -15.9982 | -2.22661 -3.03442 | -864.704 6171.72
69.355 -16.0896 | -1.05032 0.287144 | -3081.35 30.0345
69.8505 -16.1246 | -1.37321 -3.02512 | 1690.94 -2382.16
70.3463 -16.1043 | -2.80801 1.81793 | -9919.43 3023.59
70.8288 -16.0231 | -2.15845 -0.636232 | -4904.45 -1492.05
71.2978 -15.8956 | -3.56216 -2.67499 | 9335.42 -2479.66
71.764 -15.7371 | -2.78061 -1.43961 | 7984.72 6885.29
72.227 -15.5479 | -2.69826 -0.635891 | 461.938 -343.734
72.685 -15.3465 | -3.86648 -1.27339 | -6223.64 -9625.8
73.1372 -15.1499 | -2.30438 -0.111433 | -9135.12 1596.7
73.5812 -14.9489 | 2.06113 4.28713 | 10138.7 -3398.48
74.0299 -14.7505 | 0.978514 2.23858 | -11473.6 2493.48
74.4676 -14.5423 | -0.846989 -2.67854 | -836.263 -384.834
74.9033 -14.3336 | -2.52855 -2.56268 | 3054.6 -3514.55
75.3438 -14.1349 | -2.16385 1.14356 | -7993.64 1943.68
75.7834 -13.9408 | -0.549547 -1.30016 | 15294.3 5989.12
76.2383 -13.7579 | 1.23216 -4.3341 | -10447.5 -2202.71
76.6982 -13.5997 | -2.90053 -2.15457 | 13885.1 -3922.88
77.1773 -13.4747 | -1.58336 -0.640029 | 7059.69 9238.67
77.6673 -13.3628 | 2.75037 -2.50112 | -3786.69 -2884.92
78.1614 -13.273 | 1.71427 -3.65475 | 6782.15 2699.13
78.6654 -13.2032 | 4.23287 -0.876683 | 18523.9 679.835
79.1842 -13.159 | 2.89159 1.98535 | -16827.4 -6897.88
79.6951 -13.1452 | 0.307751 -2.7516 | 451.361 6806.64
80.2056 -13.1435 | -0.275911 -2.51774 | 7140.2 -106.68
80.72 -13.1642 | 0.985821 -1.25385 | -5002.56 -2626.9
81.2294 -13.2185 | 0.34278 -3.14851 | 2551.63 -2137.06
81.7334 -13.3094 | 2.00938 -2.11335 | -13919.7 6122.09
82.2207 -13.4331 | 4.72289 1.99947 | 7955.74 -9938.9
82.6979 -13.6038 | -1.56219 1.67276 | -12552.2 3524.08
83.1552 -13.8019 | 0.586038 2.43748 | -1620.91 7999.33
83.604 -14.0098 | 0.943515 1.71882 | 8194.36 -4185.1
84.0494 -14.2361 | -2.6461 1.21324 | -7116.02 1629.08
84.4818 -14.4808 | -1.87563 2.10224 | 8149.07 -10680.5
84.9103 -14.7439 | -2.23749 -2.02101 | -9618.24 15172.4
85.334 -14.9956 | 1.47031 1.18235 | -1419.87 1600.66
85.7562 -15.2455 | 0.838053 1.25096 | 5628.42 -2790.69
86.1777 -15.505 | 2.68456 0.29914 | 647.33 -3980.25
86.5919 -15.7828 | 2.78329 -0.889533 | 8768.59 -8609.52
87.0031 -16.0797 | 0.962536 -3.27927 | -2248.38 1942.03
87.4077 -16.3811 | 2.66 1.67961 | -13666.7 11717.9
87.8031 -16.6753 | 2.03068 3.10194 | 2656.09 -7677.56
88.2031 -16.9691 | 1.56888 -0.847888 | 7443.44 -4747.55
88.6222 -17.2468 | 1.0897 -1.81458 | 8195.43 12229.6
89.0641 -17.4874 | 2.35973 2.6416 | -16201.7 -3594.44
89.5018 -17.7204 | -0.381809 4.23851 | 7346.93 -6599.51
89.9488 -17.9476 | -0.386163 0.804269 | 3313.15 -4374.75
90.4076 -18.1544 | 3.55365 2.39112 | -14006.8 18017.9
90.872 -18.3122 | -0.60923 0.673499 | -1787.13 -9925.08
91.3434 -18.4476 | -2.12719 -3.11383 | 8352.5 -1680.05
91.8301 -18.5486 | 1.59584 -2.99209 | 10407.1 8824.94
92.3305 -18.6047 | -2.5209 1.69867 | -8969.99 -5543.14
92.8285 -18.6462 | -0.598139 0.215976 | 8678.54 -7851.29
93.3314 -18.6809 | 3.86091 -2.31518 | -10756.1 2862.1
93.8283 -18.6869 | -2.59398 0.129877 | -4613.5 9877.23
94.3206 -18.6538 | -4.82092 -2.14199 | 6201.95 -8198.48
94.815 -18.6124 | -4.78017 0.603941 | -3438.59 -5226.75
95.3064 -18.5605 | 0.0910256 -2.55573 | -926.466 9487.69
95.7943 -18.4768 | 0.62423 -0.555779 | 8242.23 2458.07
96.2851 -18.3791 | -3.30317 -0.804833 | -3309.6 -11272
96.7757 -18.2915 | -1.16987 0.608777 | 3275.14 8149.73
97.2679 -18.1949 | -2.01597 5.24269 | 7099.23 -4855.97
97.7633 -18.1005 | -3.33244 -0.825634 | -19472.6 1741.67
98.2448 -17.9988 | -1.37641 4.07134 | 10860.2 1034.25


-4.58161 32.1454 | -2.8179 -2.29815 | -2415.16 -60.1488
-4.1148 31.966 | -0.712177 -1.58695 | 12349 -1424.84
-3.62584 31.8228 | 1.41787 -1.74508 | 8454.99 -10120.3
-3.12053 31.7132 | 3.19905 -0.695435 | -6215.83 9216.01
-2.61053 31.6696 | 4.68954 2.96477 | -5604.23 8031.45
-2.10451 31.696 | 2.48857 5.77626 | -4792.04 -2698.43
-1.60756 31.7687 | -0.766874 4.29403 | -5214.08 -883.876
-1.12057 31.874 | -0.58223 0.890006 | 1968.48 -1979.85
-0.637533 31.9989 | 1.30072 -0.274396 | 3486.67 -3746.75
-0.156371 32.1389 | 2.48406 -1.12815 | 3259.06 5675.26
0.319277 32.3065 | 0.496032 -2.20992 | -4752.99 3636.43
0.784639 32.495 | -1.58016 -1.93187 | -2397.1 -8896.74
1.24688 32.681 | -0.934826 -1.44172 | 1902.97 2406.38
1.70891 32.8706 | -0.75932 -1.60055 | -155.34 785
2.17026 33.0621 | -1.00435 -0.736287 | -48.4451 -4457.36
2.63146 33.2507 | -1.05935 0.469015 | -2216.46 4526.04
3.08868 33.4476 | -0.197284 0.245832 | -138.497 -1691.11
3.54536 33.645 | -0.0962559 1.84229 | 3604.77 -343.045
4.00454 33.8417 | -2.87344 3.30509 | -2646.17 6089.65
4.4626 34.0416 | -3.49615 2.9399 | -739.052 -2672.73
4.9266 34.2243 | -0.366459 1.51479 | 2444.93 -5658.24
5.40102 34.3786 | 0.775165 0.0518066 | -1240.04 3543.1
5.88112 34.5168 | -0.130202 -1.18206 | 5005.63 4723
6.37036 34.6384 | -2.22042 -2.67518 | 3024.12 47.4009
6.86854 34.7284 | -1.93673 -3.14608 | -2868.78 -395.395
7.36989 34.7729 | 0.345294 -2.83671 | -6975.14 -2702.55
7.86643 34.7577 | -0.256388 -2.06205 | -8434 -2585.98
8.35061 34.68 | -1.39184 0.572746 | 863.104 4004.25
8.82425 34.5538 | -1.87733 -0.810243 | 4794.59 -988.397
9.28701 34.3812 | -1.35955 -1.65353 | 2493.73 -1694.95
9.7352 34.1675 | -0.348887 -1.38561 | -1233.53 -1051.56
10.1671 33.9224 | 0.736887 1.25107 | -1205.63 1366.51
10.5883 33.661 | 3.53516 3.53003 | 7198.59 5837.99
11.0087 33.3943 | 3.76585 1.59436 | -386.17 -3409.76
11.4164 33.1062 | 2.31534 -0.420363 | -4459.06 -3518.37
11.8049 32.7928 | 2.37805 -1.61469 | 4954.52 -2609.85
12.186 32.4641 | 2.51226 -1.3137 | 3023.52 -1422.95
12.5657 32.1298 | 2.13535 -2.1018 | -743.162 2809.33
12.9462 31.7977 | 2.83319 -0.721407 | 1752.2 -315.135
13.3298 31.4674 | 0.468811 -1.35735 | 553.963 -3919.22
13.7157 31.1369 | -0.869785 -2.61577 | -1310.76 259.577
14.1065 30.815 | 0.744125 -0.153753 | -7587.87 6004.57
14.5046 30.5144 | 2.56636 5.10382 | -4806.63 2550.41
14.9182 30.2432 | 1.12742 5.29957 | 9778.79 3009.04
15.36 30.0088 | 0.270292 3.74245 | 7463.65 -5766.55
15.8211 29.795 | 0.46525 3.98359 | 4159.1 -5172.41
16.2935 29.594 | -1.81375 3.70476 | -1977.99 1245.84
16.7718 29.4109 | -2.84805 1.80068 | -5366.76 -1615.33
17.2539 29.2485 | -1.85294 -0.0245116 | 1671.24 3552.83
17.7454 29.1221 | -2.16118 0.825905 | -7348.01 2451.2
18.2393 29.0363 | -2.45012 -1.23411 | -5659.21 -1008.12
18.7345 28.9911 | -1.277 -2.09711 | 4949.47 -105.435
19.235 28.9926 | 0.0826308 1.11761 | 5146.47 1885.01
19.7372 29.0457 | -0.264277 0.835627 | 4161.48 3199.66
20.2352 29.1492 | -1.18653 0.971029 | -3654.54 283.76
20.7205 29.2923 | -0.632772 2.50059 | -7852.71 -2529.63
21.1912 29.4621 | 1.24714 -0.734198 | 2821.47 1784.88
21.6565 29.6495 | 0.994845 -0.763023 | 1736.7 -3674.01
22.1206 29.8408 | -0.705855 1.16822 | -321.229 -2118.75
22.5825 30.0369 | -0.0922816 1.97893 | 4476.07 2276.45
23.0413 30.2468 | 1.76515 3.1375 | -3901.41 -2790.36
23.4878 30.4743 | 1.81302 2.18026 | -6007.46 934.176
23.9156 30.7282 | 0.860572 1.07398 | -514.805 5156.78
24.3302 31.0064 | 0.987883 0.612274 | 5471.03 275.98
24.7461 31.2903 | 2.29264 -2.17009 | 3517.97 6788.38
25.1709 31.57 | 1.05172 -1.98445 | 2460.16 -6129.5
25.614 31.8188 | 0.249025 -3.25761 | 1496.76 -7151.27
26.0747 32.0315 | -1.06658 -2.49296 | -81.4255 4233.96
26.5438 32.2276 | -2.06924 2.8445 | -2783.15 451.067
27.0167 32.4109 | -0.333182 4.30252 | 3584.5 -1260.17
27.4961 32.581 | 1.04147 4.58506 | -2817.47 2709.77
27.9764 32.7443 | -0.931774 6.81299 | -3990.58 -2069.94
28.458 32.8948 | -2.82627 5.60517 | 3904.09 2769.78
28.9465 33.0309 | -3.34228 1.97069 | -137.255 2545.68
29.4413 33.1421 | -4.43587 1.4365 | -4448.94 -8147.43
29.9401 33.2072 | -4.00953 2.2377 | -1689.32 -2530.81
30.4415 33.2332 | -2.24119 2.84523 | 5741.17 6509.26
30.9489 33.2366 | -0.804181 3.28551 | 12154.3 -5262.86
31.4648 33.2074 | -0.0240625 0.988086 | 299.48 3588.86
31.9796 33.154 | -0.27638 0.438577 | -6030.06 371.94
32.4856 33.0684 | 0.212415 -0.914313 | -3757.73 -12061.6
32.981 32.9406 | 0.276041 -2.25023 | 1676.38 8489.06
33.4735 32.8061 | 1.05659 0.586764 | -3049.97 361.588
33.9619 32.6671 | 1.31264 -1.78482 | -3155.56 2261.29
