4.77795 84.8802 | -1.96816 -0.284923 | -423.276 -2382.59
5.08033 85.2772 | -3.08556 -0.140949 | 1004.79 -5171.59
5.3638 85.6845 | -2.09827 -1.32956 | -2750.99 1454.28
5.62051 86.1084 | 0.633671 -1.66893 | 2576.01 3842.3


-23.7673 77.2905 | -2.1651 -0.673997 | -7006.55 -360.745
-23.2925 77.4292 | 0.262323 -3.45552 | 8526.77 759.283
-22.8046 77.5387 | -0.433086 -1.17584 | -748.711 1510.89
-22.3115 77.6206 | -2.63486 1.73982 | -8316.83 -9227.36
-21.819 77.6708 | 3.61764 -2.96648 | 10596.8 15433.6
-21.3181 77.7208 | -0.732889 -6.09403 | 14212.5 -18063.8
-20.8078 77.7436 | -0.756256 3.56534 | -25518.9 12540.2
-20.3148 77.7857 | 1.63522 -4.54385 | -7688.43 2612.66
-19.8268 77.8396 | -3.78445 4.23217 | 34014.2 -5218.8
-19.3166 77.8855 | 0.936732 2.92614 | -1490.72 -15253.2
-18.8075 77.9326 | -3.77279 1.08363 | -24247.5 27530.2
-18.3232 78.0502 | -2.8128 -3.79049 | 12445.9 -18662.7
-17.8428 78.1908 | -6.6135 -2.10381 | -16355.1 9610.84
-17.3866 78.3837 | -2.17535 -4.53886 | 24044.7 7263.6
-16.9303 78.6112 | -0.347943 -2.87725 | -13740.5 -11769.1
-16.4911 78.8516 | -3.82637 2.90154 | 4268.99 714.318
-16.0629 79.113 | -1.55012 -2.94684 | -4083.93 -564.074
-15.6546 79.4023 | 1.08918 2.70598 | 6758.07 7204.43
-15.264 79.7251 | 0.397767 -1.69023 | -2418.18 -1970.24
-14.8959 80.074 | -1.65062 1.04704 | 11855.6 14491.4
-14.5447 80.4518 | -3.69941 -1.6979 | -27840 -29795.7
-14.228 80.8286 | -3.44299 -2.50662 | 18040.7 14827
-13.914 81.2242 | 2.3564 -1.92355 | 14165.6 7025.78
-13.6116 81.6404 | 1.32111 -2.908 | -31594.8 -5225.48
-13.3646 82.0778 | -0.124007 1.77303 | 24374.1 -2461.83
-13.1184 82.5198 | -0.843819 -0.7927 | -14712.9 -5472
-12.9082 82.9736 | 0.132154 -0.608509 | 6181.34 12075
-12.7219 83.4462 | 5.97408 -1.77689 | -1976.63 -1420.82
-12.5601 83.9265 | -1.93732 2.47304 | -12719.3 -3379.87
-12.4174 84.4053 | 1.7214 -3.40887 | 10708.9 -20218.6
-12.2452 84.862 | -0.17643 -1.22058 | 8423.45 3.04091
-12.0544 85.3135 | 0.114158 1.43333 | -11780.1 16510.1
-11.889 85.7835 | -1.67344 4.74992 | 285.498 3937.64
-11.7325 86.2599 | -0.860263 1.95379 | 6561.58 -11695.6
-11.5653 86.7262 | 0.971456 0.966221 | -10003.4 -582.322
-11.4023 87.1909 | -1.72757 6.00254 | 11920.3 1573.42
-11.2222 87.6531 | 2.15582 -0.534016 | -4959.83 3685.25
-11.0474 88.1192 | 5.092 -4.50613 | -420.392 2991.03
-10.8771 88.5894 | -0.564295 1.25722 | -7009.08 1653.37
-10.7066 89.0598 | 1.32506 2.77021 | 17247.8 -3225.29
-10.5032 89.5201 | 1.31071 2.71548 | -24943.2 18646.2
-10.299 89.9829 | -0.0485517 0.667099 | 11936.4 -25700.4
-10.0251 90.3939 | -1.31154 -2.69435 | 8521.54 -5543.7
-9.68733 90.7553 | -1.81568 0.323036 | -7142.73 18394.9
-9.32471 91.0991 | 0.786694 6.45524 | -6719.33 -10846.6
