-21.5173 -62.5308 | 0.858598 -0.243997 | -9.09495e-13 4.3201e-12
-63.2361 -49.4184 | -1.03298 0.0552073 | -100.265 155.392
51.257 -75.0116 | 0.076173 -0.283745 | 2.84217e-12 3.63798e-12
45.5033 20.7278 | -0.349116 -0.109736 | 209.664 494.835
-59.9238 -51.5484 | -0.192163 -0.275619 | -89.3084 81.734
14.1052 55.9445 | 0.308384 -0.295198 | 87.347 -287.696
-25.4849 30.5751 | 0.215309 -0.93796 | -7.27596e-12 3.63798e-12
49.551 74.1953 | 0.677153 -0.764365 | -1.81899e-12 -1.09139e-11
64.8687 33.2151 | -0.193226 -0.059092 | 1857.02 -3150.28
13.6294 10.6171 | -0.599357 0.123145 | 1.36424e-12 6.82121e-13
-59.9182 -59.0338 | -0.0697417 0.296025 | -46.9701 1076.47
-76.3635 -19.282 | 0.358333 -0.713596 | 1.00044e-11 1.18234e-11
32.6703 -83.6408 | 0.365711 -0.405 | -143.678 -263.436
3.41712 -22.1322 | -1.21674 0.189835 | -144.275 324.121
47.4241 8.67553 | -0.184414 0.0243693 | -394.634 181.111
-20.1062 0.179137 | 0.200489 0.0642448 | 20.0637 224.136
57.0289 19.4846 | -0.000109483 0.172013 | -207.668 -489.676
-55.2638 79.0109 | -0.00740697 -0.455486 | 2.91038e-11 -3.63798e-12
2.73037 -96.7829 | -0.906845 -0.876006 | -7.04858e-12 -1.81899e-12
39.7584 80.5584 | 0.553463 -1.00024 | -3934.02 -2788.65
0.671794 30.1309 | -0.50766 -0.068641 | -4.88853e-12 -1.36424e-12
-39.5842 -61.5284 | 0.186901 0.331904 | 94.6253 -563.626
-32.3197 -31.8688 | -0.392394 0.61998 | -103.437 208.575
74.0568 4.53492 | -0.0931617 0.533152 | 460.816 444.045
-62.8494 13.8649 | 0.263397 -0.15053 | -2.84217e-12 4.09273e-12
39.778 -1.94877 | -0.202093 -0.371383 | 493.07 1278.26
61.103 -55.0665 | 0.0659321 -0.125346 | -4.54747e-12 -2.16005e-11
-67.1931 -18.3978 | -1.2567 -0.328189 | 1227.02 -1221.34
47.2961 48.1195 | -0.19169 -0.0390471 | -624.558 -178.698
-77.6865 10.1573 | -0.171447 -0.206046 | -671.272 2657.72
