-54.8133 -54.7405 | -0.168899 -0.393219 | -958.945 582.964
-74.2918 -20.8566 | -0.0709886 0.200737 | -1.45519e-11 1.81899e-12
34.1645 -82.5877 | 0.100706 0.642158 | -491.81 -1490.44
5.92935 -16.3038 | -0.21122 0.553702 | 471.638 -1516.61
41.8146 9.0836 | 0.0676402 0.304206 | 4.54747e-13 -1.81899e-12
-21.2532 2.43234 | -0.688938 0.593365 | -288.307 6557.82
55.6103 19.4429 | -0.19752 0.272268 | -1482.33 5293.99
-49.2777 82.2234 | 0.253428 0.729316 | 4.00178e-11 3.63798e-12
-0.568121 -96.8451 | 0.366792 -0.153898 | 7.27596e-12 6.36646e-12
45.951 73.6134 | 0.423733 0.0750838 | -7.27596e-12 -3.63798e-12
-1.74487 32.6005 | 0.0769705 -0.212202 | 5.91172e-12 5.45697e-12
-39.0199 -58.8222 | -0.596527 0.630903 | -156.831 -433.318
-33.3337 -29.4503 | -0.0664634 -0.173901 | -1.09139e-11 7.95808e-12
73.7876 1.67997 | 0.482695 0.0575997 | -1.68118 -11.2158
-62.775 9.17054 | -0.607673 0.0539615 | -21.7747 512.658
34.1984 -0.153054 | -0.490698 -0.468456 | 2399.75 -2434.5
62.6823 -56.2792 | 0.0268461 -0.0867797 | 25.1722 50.621
-62.7226 -19.481 | 0.486431 -0.546972 | -114.051 -666.617
50.2441 41.8638 | 0.223516 -0.0214407 | 62.971 -95.5723
-82.7192 4.47617 | -0.626504 -0.163953 | 12.6415 -50.8821
