-92.9379 5.63274 | 0.0657303 0.19142 | -1762.27 -21.1174
27.4381 -87.7379 | 0.014783 0.380922 | 300.599 -619.19
75.389 -47.3862 | 0.034047 0.36776 | -2.72848e-12 -1.09139e-11
57.2202 7.43271 | -0.59316 -0.170909 | -69.7175 624.669
-65.2622 -42.2059 | 0.21499 -0.0928958 | 8.18545e-12 -4.09273e-12
-78.7819 43.829 | 0.0753019 -0.423654 | 1672.96 -1595.23
30.5276 -85.3611 | -0.161331 0.0263618 | -300.599 619.19
-72.7969 39.1724 | -0.610391 0.434202 | -167.189 108.587
15.624 -38.6614 | 0.127157 0.348479 | 584.805 -1509.46
-15.7288 -24.2559 | -0.154288 -0.243257 | 589.176 -3207.64
50.0867 38.3151 | 0.0124559 0.480183 | 12.9219 22.2478
-8.27946 77.0642 | 0.206762 -0.124421 | -218.571 -160.114
-23.2541 -62.6628 | -0.862452 -0.173843 | -703.351 1167.44
-60.5567 -46.0345 | 0.757052 -0.143648 | -183.804 -506.818
57.8451 -73.1362 | 0.0479062 0.128536 | 143.199 -560.953
46.205 21.5077 | -0.28962 0.109506 | -51.352 -143.528
-55.4156 -48.0687 | 1.12854 -0.341355 | 0 3.63798e-12
15.1445 53.0118 | 0.461208 0.16956 | 809.449 -2378.99
-26.8543 28.5958 | -0.285851 0.0708726 | 2.72848e-12 9.09495e-13
54.5192 68.1322 | 0.199656 -0.405827 | 284.243 -1396.84
64.0578 31.1931 | -0.491066 -0.205625 | -18.9607 -43.3667
12.8197 14.9949 | -0.0456722 0.401674 | 52.3657 -1619.74
-57.5068 -52.3215 | 0.371362 0.0725708 | -1.09139e-11 -4.54747e-12
-75.1006 -20.3622 | 0.858462 0.333729 | -5.66262 -31.8105
33.7456 -82.3626 | 0.218227 -0.262774 | 5.54223e-13 9.54969e-12
6.15591 -18.5987 | 0.221612 0.408198 | 54.7585 -64.8256
42.5841 8.33568 | -0.249683 0.409529 | -3.90549 5.59519
-18.0258 4.08749 | -0.92118 -0.0508508 | -24.0647 -30.0464
57.9179 18.2765 | -0.369603 0.439009 | 1.27329e-11 -1.36424e-11
-51.9811 79.2046 | 0.781722 0.54149 | -1.81899e-11 -3.54703e-11
-0.43039 -96.5902 | 0.0409026 -0.122571 | -187.23 -933.255
44.4684 74.032 | 0.15324 -0.760598 | -334.235 1617.17
-1.73988 32.8058 | -0.149087 0.400312 | -11.8643 -16.7002
-36.9005 -61.5496 | -0.655701 0.370694 | -9.54969e-12 1.81899e-12
-33.2351 -29.36 | -0.0536599 -0.0437209 | 111.01 1631.6
71.9174 2.25844 | 0.660492 -0.720888 | -836.365 -811.24
-63.0713 9.73595 | 0.0920437 0.040629 | -4.54747e-13 -4.88853e-12
35.6369 -1.66171 | -0.0887378 0.421827 | -6.36646e-12 0
62.3835 -57.4908 | 0.0528355 0.330618 | -4.54747e-12 3.63798e-12
-65.4938 -20.9874 | 0.436371 0.217017 | 73.4597 511.818
48.2668 42.8315 | 0.385081 -0.527196 | -8.18545e-12 3.63798e-12
-80.9594 5.76492 | -0.035448 -0.321223 | -246.958 2072.62
