4.77623 51.2441 | -0.263385 -0.289862 | 5.45697e-12 3.63798e-12
79.6517 0.738807 | -0.0781842 0.573108 | -1.81899e-12 -9.09495e-13
-71.0285 -51.6642 | -0.45157 0.15177 | -1.18234e-11 1.59162e-11
-31.4944 80.181 | 0.142435 0.71568 | 110.709 -136.394
2.14359 5.14483 | 0.470467 -0.363174 | 50.7739 -41.7133
-78.8379 7.76477 | -0.372927 0.425835 | -17.4658 250.179
58.1029 38.6121 | 0.957104 -0.265487 | 212.677 -696.204
-45.4707 -76.6649 | 0.0437113 0.619297 | -3.63798e-12 1.09139e-11
74.0942 41.3248 | 0.514431 -0.226555 | -2455.53 -1327.23
59.4435 -26.3878 | -0.753267 0.222031 | -368.413 605.941
-76.4566 3.59189 | -0.455017 -0.0280626 | 17.4658 -250.179
69.938 -3.18943 | -0.336407 0.092188 | -9.09495e-12 7.27596e-12
