-25.1563 29.6071 | 0.476398 0.244275 | 2.84217e-13 4.20641e-12
-13.4355 94.4646 | -0.684288 -0.237949 | 3.63798e-11 -1.81899e-12
-48.0504 -52.6445 | 0.0382512 0.443192 | 7.95808e-13 2.72848e-12
15.7592 -75.6388 | 0.178944 0.59952 | -5.91172e-12 -3.41061e-12
30.1073 8.87544 | 0.153523 0.0519561 | -366.897 -929.14
23.1714 34.0546 | 0.726538 -0.400496 | -105.382 -211.176
48.8261 63.8546 | 0.457317 -0.106699 | 15.8608 124.174
24.5202 87.1037 | -1.15079 -0.062888 | -63.3447 -128.725
27.2582 -88.6544 | 0.414083 -0.0200464 | 10.4398 -20.4892
22.9523 -15.1788 | -0.0384894 -0.254603 | -1.36424e-12 -3.18323e-12
-15.5566 0.0250376 | -0.534852 0.712999 | -16.1906 -62.7777
95.1361 2.46441 | -0.154231 0.0310154 | 9.09495e-13 -2.72848e-12
-43.4909 -69.5781 | 0.0593574 0.378306 | -137.493 1359.48
-38.117 77.2012 | -0.0106401 0.0570813 | 1.02318e-11 6.48015e-12
-24.7026 -92.3209 | 0.494319 0.0532415 | 0.428595 -6.13974
3.41233 -37.4937 | 0.534367 0.25053 | -4.20641e-12 6.36646e-12
-59.8033 -12.1858 | 0.596035 0.20142 | -44.9221 34.6393
-21.7836 6.32696 | 0.425615 0.0895692 | 1.22782e-11 2.27374e-13
-53.2036 -19.7087 | -0.0158451 0.669726 | -47.6349 1105.58
-72.9733 -16.3631 | 0.158198 0.100671 | -18.1793 -37.6682
-94.2711 -4.51739 | -0.167506 0.0232818 | -1.17097e-11 -8.18545e-12
2.73133 52.6399 | 0.52359 0.367311 | -982.171 4204.03
79.0949 -1.35548 | 0.43238 0.00281829 | -6.11185 -36.5555
-63.3562 -55.3073 | -0.0529586 -0.0939014 | -18.4426 26.0517
-26.8182 82.8715 | 0.21926 -0.656965 | -481.384 -708.255
-0.649317 2.24021 | 0.493859 0.0145295 | -81.6857 -132.982
-74.3239 5.76851 | -0.340961 0.138727 | 266.598 4210.25
51.4625 37.0151 | 0.00269649 -0.0856331 | -8.18545e-12 -5.45697e-12
-49.4448 -75.0993 | 0.0433903 -0.230179 | -347.976 -578.986
66.7896 40.8923 | 0.283961 0.0416265 | 954.923 2428.05
58.6055 -27.9486 | -0.0356063 -0.71319 | 3.06954e-11 4.54747e-12
-75.3321 1.43931 | -0.330233 -0.021468 | -338.372 -4158.62
70.6091 -6.69803 | -0.0815306 -0.255744 | 23.7231 -177.943
